"population","year","accession_name","accession","row","column","num_peds","num_no_fruit","num_berries","num_aborted_flower","num_aborted_berries","total_berry_weight","upright_length","secondary_growth","dry_wt_leaves","berry_length","berry_width","berry_weight","num_seeds","calyx_diam","calyx_lobe_form","calyx_lobe_size","berry_skin","rebud","chimera_LvW","chimera_eccentricity","chimera_solidity","chimera_tortuosity","chimera_umccLogX","chimera_umccLogY"
2,2012,"CNJ02_1_2","R7C47","7","47",3,0.1,1.9,0.3,0.7,4.8397,3.09,1.63333333333333,0.0851,23.78,17.77,2.9772,15.9,2.31,0.8,0.9,1.6,0.5,1.40877582744208,0.704366843194443,0.990325787702661,103.5,447.773078641725,439.455312475005
2,2012,"CNJ02_1_20","R8C11","8","11",4.55555555555556,0.333333333333333,2.22222222222222,1.55555555555556,0.444444444444444,4.6317,4.4,4.9,0.0805,22.27,16.76,2.4227,19,2.81,1.1,1,1.7,0.8,1.50594903762707,0.747703182465512,0.989536963055968,90,465.794905336283,442.921048377805
2,2012,"CNJ02_1_21","R8C12","8","12",4.3,0.6,1.7,1.8,0.2,2.4545,2.76,1.55,0.0517,18.79,14.26,1.5577,10.6,2.88,2,0.6,1.7,0.6,1.49815262191294,0.744619894480314,0.989215760993827,89.4096655293983,459.556580711244,440.148459655565
2,2012,"CNJ02_1_22","R8C13","8","13",3.1,0.1,2.1,0.8,0.1,3.0731,2.51,2.32,0.0778,19.74,15.56,1.6926,15,2.54,1.4,1.2,1.3,0.8,1.42012770643902,0.710039325713677,0.989629799077357,104.5,449.852520183405,440.841606836125
2,2012,"CNJ02_1_23","R8C14","8","14",2.9,0.5,1.6,0.8,0,4.3794,2.9,2.075,0.0961,23.61,17.36,2.86,18.2,2.75,1.9,1.3,1.5,0.6,1.43326967678901,0.716384790558589,0.990094124791255,98.5,443.614195558365,434.603282211086
2,2012,"CNJ02_1_24","R8C15","8","15",4.1,0.2,2.7,1.2,0,5.5142,3.07,2.3,0.0782,25.96,17.39,2.5863,20.2,3.03,0.3,1.2,1,0.6,1.62607033910838,0.788543059811164,0.988426983401858,105.204832764699,496.986528461481,458.170286350124
2,2012,"CNJ02_1_25","R8C16","8","16",2.7,0.3,1.8,0.6,0,4.5501,3.64,2.9,0.1452,25.27,16.95,2.8788,21.9,2.74,1.2,1.7,1.5,0.2,1.41035404546152,0.705166431933139,0.989619771863118,95,435.296429391646,433.216987849966
2,2012,"CNJ02_1_26","R8C17","8","17",3,0,1.88888888888889,0.222222222222222,0.888888888888889,4.627,3.46666666666667,2.4,0.0878,19.4,17.34,2.2459,13.8,2.76,1.4,0.5,1.3,0.4,1.37822208911398,0.68814576687732,0.989759013210492,99.5,435.296429391646,435.989576572206
2,2012,"CNJ02_1_27","R8C18","8","18",2.9,0.4,1.6,0.3,0.6,4.1744,3.08,3.4,0.0721,23.28,18.05,2.8139,20.5,2.7,1.2,1.5,1.2,0.6,1.49720265200529,0.744240027926686,0.990754183540918,99.5,472.033229961323,449.852520183405
2,2012,"CNJ02_1_28","R8C19","8","19",4.42857142857143,0.428571428571429,3.14285714285714,0.571428571428571,0.285714285714286,6.6553,4.25,NA,0.09,23,17.72,2.5132,17.8,2.68,1.5,1.4,1.3,0.7,1.45582550603056,0.726756191293959,0.990018287107589,106.5,452.625108905644,440.841606836125
2,2012,"CNJ02_1_29","R8C20","8","20",3.6,0.8,2,0.7,0.1,3.6567,3.72,2.4,0.0674,20.75,16.77,2.0832,23.7,2.61,1.7,1.4,1.8,0.3,1.34736825847762,0.67019219774122,0.990563514804202,103,440.148459655565,441.534754016685
2,2012,"CNJ02_1_3","R7C48","7","48",3.7,0.3,2.3,0.4,0.7,5.4305,3.44,1.45,0.0871,24.81,17.17,2.7903,23.5,2.72,1.6,1,1.9,0.3,1.48134361297093,0.737760249743566,0.990350877192982,93.2048327646991,454.011403266764,436.682723752766
2,2012,"CNJ02_1_30","R8C21","8","21",5,1.8,2.2,1,0,4.7792,3.22,2.55,0.0907,22.35,17.29,2.3487,18.7,2.7,2,1,1.3,0.5,1.41035404546152,0.705166431933139,0.989619771863118,95,435.296429391646,433.216987849966
2,2012,"CNJ02_1_31","R8C22","8","22",3.8,0.4,2.5,0.7,0.2,5.6856,3.51,2.25,0.0938,23.47,17.88,2.8195,17,2.84,1.4,1,1.4,0.5,1.41780579902569,0.708893820996909,0.989604279697993,103,440.841606836125,435.989576572206
2,2012,"CNJ02_1_32","R8C23","8","23",5.11111111111111,0.555555555555556,2,0.888888888888889,1.66666666666667,4.3737,3.15,5.125,0.0681,22.77,17.1,2.5101,24.1,2.79,0.4,0.9,2,0.6,1.50594903762707,0.747703182465512,0.989536963055968,90,465.794905336283,442.921048377805
2,2012,"CNJ02_1_33","R8C24","8","24",3.6,0.7,1.9,0.2,0.8,4.4436,2.95,2.15,0.0741,21.95,17.31,2.7088,22.4,2.79,0.4,1.5,1.4,0.7,1.41780579902569,0.708893820996909,0.989604279697993,103,440.841606836125,435.989576572206
2,2012,"CNJ02_1_34","R8C25","8","25",3.2,0.6,1.7,0.5,0.4,3.6754,4.97,3.98,0.1277,22.98,17.84,2.6133,18.5,2.7,1.6,0.6,1.8,0.3,1.46799202309275,0.732094940490981,0.990749942664934,80.5,451.238814544524,436.682723752766
2,2012,"CNJ02_1_35","R8C26","8","26",3.1,0.2,2.4,0.1,0.4,5.7744,2.84,2.76666666666667,0.0774,22.13,17.65,2.7374,16.8,2.79,1.7,0.8,1.8,0.7,1.44876543749112,0.723577772811705,0.989069379080006,98.5,449.159373002845,437.375870933325
2,2012,"CNJ02_1_36","R8C27","8","27",4.6,0.4,1.7,2.1,0.4,3.5271,3.02,1.4,0.0689,20.3,16.7,2.1616,18,2.76,1.3,1.4,2,0.6,1.41035404546152,0.705166431933139,0.989619771863118,95,435.296429391646,433.216987849966
2,2012,"CNJ02_1_37","R8C28","8","28",3.4,0.5,2.1,0.3,0.5,5.5789,3.51,3.1,0.0869,24.15,17.97,3.0079,17.8,2.55,1.9,1,1.1,0.8,1.46799202309275,0.732094940490981,0.990749942664934,80.5,451.238814544524,436.682723752766
2,2012,"CNJ02_1_38","R8C29","8","29",3.1,0.6,2.1,0.2,0.2,6.3396,3.6,4.9,0.0847,23.53,19.24,3.2969,22.1,3.02,2,1.4,1.3,0.5,1.49815262191294,0.744619894480314,0.989215760993827,89.4096655293983,459.556580711244,440.148459655565
2,2012,"CNJ02_1_39","R8C30","8","30",3.9,0.9,1.8,0.4,0.8,4.5388,3.23,NA,0.0665,22.02,17.43,2.7887,18.2,2.61,2,1.6,1.5,0.9,1.49815262191294,0.744619894480314,0.989215760993827,89.4096655293983,459.556580711244,440.148459655565
2,2012,"CNJ02_1_4","R7C49","7","49",3.1,0.2,2.3,0.5,0.1,4.3994,3.91,1.2,0.0782,20.78,16.21,2.2328,16.2,2.66,1.5,1.1,2.3,0.5,1.41035404546152,0.705166431933139,0.989619771863118,95,435.296429391646,433.216987849966
2,2012,"CNJ02_1_40","R8C31","8","31",3.8,0.1,2.4,0.9,0.4,4.7973,3.36666666666667,2.06666666666667,0.0929,20.01,16.7,2.1371,10.9,2.67,1.6,1.5,1.7,0.6,1.46853762034319,0.732330348805388,0.989916736689329,104,464.408610975163,448.466225822285
2,2012,"CNJ02_1_41","R8C32","8","32",5.1,0.1,3,1.9,0.1,5.8302,3.34,2.12,0.0883,22.47,16.96,2.4183,18.6,2.95,1.6,1.5,2,0.5,1.49032888534428,0.741463835162608,0.990022468486995,101.614498294097,456.783991989004,439.455312475005
2,2012,"CNJ02_1_42","R8C33","8","33",1.9,0,1.3,0.5,0.1,2.9154,3.9,1.78,0.096,20.97,17.75,2.4148,12.7,2.72,1.9,1,1.1,0.9,1.41035404546152,0.705166431933139,0.989619771863118,95,435.296429391646,433.216987849966
2,2012,"CNJ02_1_43","R8C34","8","34",2.9,0.6,1.6,0.5,0.2,3.1089,3.16,2.6,0.0677,22.48,15.73,2.0572,8,2.75,1.8,1,1.8,0.6,1.70155431520976,0.80908040869097,0.980475509743435,128.204832764699,502.53170590596,458.863433530684
2,2012,"CNJ02_1_44","R8C35","8","35",3.2,0.5,1.8,0.3,0.6,4.1566,3.04,2.7,0.0713333333333333,23.81,17.11,2.6773,18.1,2.74,1.1,1.2,1.9,0.5,1.46799202309275,0.732094940490981,0.990749942664934,80.5,451.238814544524,436.682723752766
2,2012,"CNJ02_1_45","R8C36","8","36",3.5,0.6,1.4,0.7,0.8,3.6889,4.35,2.83333333333333,0.1094,21.89,17.72,2.5558,11.7,2.49,1.6,0.8,1.5,0.9,1.48134361297093,0.737760249743566,0.990350877192982,93.2048327646991,454.011403266764,436.682723752766
2,2012,"CNJ02_1_46","R8C37","8","37",3.4,0.2,2.2,0.6,0.4,5.3906,3.92222222222222,2,0.0939,22.44,17.98,2.732,18,2.46,1.6,1.2,1.7,0.6,1.41499374849129,0.707496444310887,0.990317271996632,102.204832764699,450.545667363964,441.534754016685
2,2012,"CNJ02_1_47","R8C38","8","38",3.6,0,2.7,0.4,0.5,5.8998,3.65,2.66666666666667,0.0795,22.51,17.06,2.5181,20.1,2.75,1.9,0.9,1.5,0.8,1.46799202309275,0.732094940490981,0.990749942664934,80.5,451.238814544524,436.682723752766
