"year","accession_name","accession","row","column","berry_length","berry_width","berry_weight","num_seeds","num_peds","num_berries","total_berry_weight"
2011,"CNJ02_1_45","R8C36","8","36",23.68,18.4,3.005,16.3,5.5,2.5,6.312
2011,"CNJ02_1_46","R8C37","8","37",22.065,18.359,2.616,23.8,4.8,3,6.927
2011,"CNJ02_1_47","R8C38","8","38",21.24,16.75,2.098,18.8,3.3,2.3,4.057
2011,"CNJ02_1_48","R8C39","8","39",26.848,19.295,3.511,24.7,4.2,2.8,8.787
2011,"CNJ02_1_49","R8C40","8","40",22.136,17.081,2.415,22.6,4.8,2.1,4.753
2011,"CNJ02_1_5","R7C50","7","50",24,16.89,2.705,11.9,4.9,2.3,5.279
2011,"CNJ02_1_50","R8C41","8","41",22.859,18.23,2.82,21.5,4,2.4,6.029
2011,"CNJ02_1_51","R8C42","8","42",23.31,18.63,2.779,21.9,4.4,2.2,5.597
2011,"CNJ02_1_52","R8C43","8","43",22.03,18.41,2.715,19,3.8,2.8,6.617
2011,"CNJ02_1_53","R8C44","8","44",21.518,17.804,2.477,25.6,4.8,2.7,5.526
2011,"CNJ02_1_54","R8C45","8","45",23.41,18.49,2.758,20.4,5,3,6.821
2011,"CNJ02_1_55","R8C46","8","46",26.1888888888889,17.4777777777778,2.769,21.8,4.7,2.9,6.963
2011,"CNJ02_1_56","R8C47","8","47",24.217,20.345,3.736,30.5,3.8,2.6,8.554
2011,"CNJ02_1_57","R8C48","8","48",27.5323,19.204,3.438,20.6,4.1,2.5,7.894
2011,"CNJ02_1_58","R8C49","8","49",24.068,18.025,2.809,20.3,4.3,2,4.782
2011,"CNJ02_1_59","R8C50","8","50",21.441,18.922,2.627,14.8,4.8,2.6,6.204
2011,"CNJ02_1_6","R7C51","7","51",23.22,18.41,2.888,26,5,2.7,6.739
2011,"CNJ02_1_60","R8C51","8","51",25.605,18.798,2.941,20.8,4.7,2.5,6.941
2011,"CNJ02_1_61","R8C52","8","52",22.991,17.314,2.398,20.8,4.6,1.4,3.395
2011,"CNJ02_1_62","R8C53","8","53",22.491,17.861,2.457,23.3,3.5,2.4,5.084
2011,"CNJ02_1_63","R8C54","8","54",21.94,18.585,2.756,26,4.3,2.1,5.43
2011,"CNJ02_1_64","R9C1","9","1",19.143,15.517,1.622,15.3,3.2,1.8,2.676
2011,"CNJ02_1_65","R9C2","9","2",19.552,15.512,1.811,17.1,4.2,1.3,2.616
2011,"CNJ02_1_66","R9C3","9","3",22.686,17.464,2.392,27.4,5.9,2.7,5.021
2011,"CNJ02_1_67","R9C4","9","4",20.594,15.313,1.719,12.1,3.9,1.8,2.726
2011,"CNJ02_1_68","R9C5","9","5",22.346,18.425,2.717,24.6,4.7,3,7.01
2011,"CNJ02_1_69","R9C6","9","6",23.99,18,2.635,20.5,3.1,1.7,4.312
2011,"CNJ02_1_7","R7C52","7","52",21.431,18.814,2.728,27.2,4.77777777777778,2,4.698
2011,"CNJ02_1_70","R9C7","9","7",21.049,18.612,2.541,25.8,4,1.9,4.079
2011,"CNJ02_1_71","R9C8","9","8",20.937,16.934,2.028,16.7,3.5,1.7,3.142
2011,"CNJ02_1_72","R9C9","9","9",25.562,18.359,2.954,22.4,4.44444444444444,2.66666666666667,6.944
2011,"CNJ02_1_73","R9C10","9","10",20.475,14.479,1.606,7.7,2.5,1.4,2.01
2011,"CNJ02_1_74","R9C11","9","11",20.172,18.342,2.202,23,4,2.1,3.727
2011,"CNJ02_1_75","R9C12","9","12",20.208,17.07,2.204,23.3,3.7,1.7,3.492
2011,"CNJ02_1_76","R9C13","9","13",22.03,19.1,2.767,21,3.8,1.7,3.96
2011,"CNJ02_1_77","R9C14","9","14",28.82,19.95,3.796,28,3.2,2.1,7.314
2011,"CNJ02_1_78","R9C15","9","15",23.502,18.517,2.758,18.6,5.2,2.9,6.771
