"year","accession_name","accession","berry_length","berry_width","berry_weight","num_seeds","num_peds","num_berries","total_berry_weight","row","column"
2014,"CNJ04_2_25","R3C25",22.53,17.81,2.7711,20.8,4.6,3.1,7.6599,"3","25"
2014,"CNJ04_2_26","R3C26",21.12,16.58,2.348,16.9,5.5,2.3,4.592,"3","26"
2014,"CNJ04_2_27","R3C27",18.64,18.01,2.4356,24.3,5.3,2.3,5.1895,"3","27"
2014,"CNJ04_2_28","R3C28",19.36,16.83,2.1291,24.1,4.5,2.4,4.6675,"3","28"
2014,"CNJ04_2_29","R3C29",21.59,16.36,2.372,18.9,4.7,2.2,4.584,"3","29"
2014,"CNJ04_2_3","R3C3",19.2,16.42,2.154,18,4,2,4.2149,"3","3"
2014,"CNJ04_2_30","R3C30",20.61,16.16,2.166,14.5,4.6,2.3,4.277,"3","30"
2014,"CNJ04_2_31","R3C31",21.08,16.3,2.2825,11.6,4.44444444444444,2.77777777777778,5.4359,"3","31"
2014,"CNJ04_2_32","R3C32",19.38,17.18,2.36,21.4,5.33333333333333,1.77777777777778,4.156,"3","32"
2014,"CNJ04_2_33","R3C33",20.65,16.19,2.319,14.8,4.7,2.2,4.467,"3","33"
2014,"CNJ04_2_34","R3C34",20.7,17.35,2.592,19.2,3.7,2.3,5.053,"3","34"
2014,"CNJ04_2_35","R3C35",20.81,16.52,2.428,13.9,4.4,2.2,4.807,"3","35"
2014,"CNJ04_2_36","R3C36",19.75,16.29,2.314,18.7,4.3,2.2,4.508,"3","36"
2014,"CNJ04_2_4","R3C4",18.29,16.37,2.1706,22,5.2,2.4,4.8065,"3","4"
2014,"CNJ04_2_5","R3C5",20.33,16.12,2.212,18.5,4.5,2.25,4.1391,"3","5"
2014,"CNJ04_2_6","R3C6",19.8777777777778,17.7888888888889,2.587,23,5.625,3.5,7.11755555555556,"3","6"
2014,"CNJ04_2_7","R3C7",18.17,17.32,2.158,18.4,4.2,2.5,4.552,"3","7"
2014,"CNJ04_2_8","R3C8",20.26,17.12,2.259,18.7,5.66666666666667,2.55555555555556,5.171,"3","8"
2014,"CNJ04_2_9","R3C9",23.18,16.53,2.453,26.9,5,2.5,5.295,"3","9"
2014,"CNJ04_21_1","R4C1",21.46,18.72,3.1304,28.1,4,1.88888888888889,4.8026,"4","1"
