row,column,accession_name,year,month,TY,SFY,MFM,PFR,Tacy,Brix,TA,PAC
3,5,CNJ04_2_5,2012,September,142.5,107.5,2.2,23.6,11,8.1,2.82,1.79
3,6,CNJ04_2_6,2012,September,492.3,410.7,2.6,16.4,16,7.3,2.8,1.49
3,7,CNJ04_2_7,2012,September,156.9,132.5,2.2,15,27,9,2.82,1.64
3,8,CNJ04_2_8,2012,September,362.1,273.5,2.3,24.3,12,7.9,3.14,1.55
3,9,CNJ04_2_9,2012,September,327,237,4.5,26.4,8,8.1,2.68,1.53
3,10,CNJ04_2_10,2012,September,424.2,356.5,2.6,14.6,10,9,2.6,1.16
3,11,CNJ04_2_11,2012,September,379.6,257.1,2.8,32.3,20,9.5,2.67,1.65
3,12,CNJ04_2_12,2012,September,342.2,296.6,2.7,12.3,8,8.8,2.72,1.18
3,13,CNJ04_2_13,2012,September,330.4,240.2,2.5,25.6,15,7.7,2.58,1.41
3,14,CNJ04_2_14,2012,September,277.5,230.8,2.2,16.3,13,10.3,2.85,1.75
3,15,CNJ04_2_15,2012,September,182.9,166,2.8,8.5,9,9,3.05,1.27
3,16,CNJ04_2_16,2012,September,530.9,410.9,2.6,22.4,9,7.7,2.68,1.42
3,17,CNJ04_2_17,2012,September,125,120.1,2.2,3.9,17,9.9,2.83,2.06
3,18,CNJ04_2_18,2012,September,330,284.1,2.3,13.3,12,9.9,2.98,1.61
3,19,CNJ04_2_19,2012,September,340.9,265.7,2.4,21.8,15,9,2.78,1.75
3,20,CNJ04_2_20,2012,September,307.5,253.2,2.2,16.5,7,8.4,2.87,1.62
3,21,CNJ04_2_21,2012,September,308.3,285.2,2.4,7.3,12,9,3,1.18
3,22,CNJ04_2_22,2012,September,27.1,21.9,1.7,16.6,22,8.1,2.83,1.43
3,23,CNJ04_2_23,2012,September,427,351.4,2.6,15.1,10,8.4,2.82,1.43
3,24,CNJ04_2_24,2012,September,247.1,233.1,2.8,5.3,22,8.1,2.77,1.68
3,25,CNJ04_2_25,2012,September,293.9,251.1,3.4,12,20,6.6,2.44,1.67
3,26,CNJ04_2_26,2012,September,431.8,327.8,2.7,23.4,10,9.2,2.89,1.23
3,27,CNJ04_2_27,2012,September,282.3,220,3,21.4,24,8.1,2.34,1.3
3,28,CNJ04_2_28,2012,September,171.4,111.6,2.2,30.1,16,8.1,2.9,2.09
3,29,CNJ04_2_29,2012,September,550.2,484.9,2.7,11,15,8.4,2.76,1.42
3,30,CNJ04_2_30,2012,September,249.9,217.1,2.5,12,8,8.4,2.82,1.52
3,31,CNJ04_2_31,2012,September,338.2,306.4,2.4,8.4,8,12.1,2.71,1.35
3,32,CNJ04_2_32,2012,September,496.1,460,2.3,7,7,8.1,2.82,1.48
3,33,CNJ04_2_33,2012,September,233.6,172.8,2.4,17.6,22,7.7,2.72,1.47
3,34,CNJ04_2_34,2012,September,297.3,254.8,2.5,10.8,20,7.9,2.82,2.14
3,35,CNJ04_2_35,2012,September,282.3,226.4,2.6,18.2,8,7,2.3,1.39
3,36,CNJ04_2_36,2012,September,486.1,387.6,2.5,18.4,12,8.4,2.81,1.23
4,1,CNJ04_21_1,2012,September,173.7,91.9,2.5,45.1,34,9.7,2.76,1.31
4,2,CNJ04_21_2,2012,September,323.2,231.4,2.1,21.3,13,9,2.97,1.49
4,3,CNJ04_21_3,2012,September,40,34.1,2.4,14.8,20,7.9,2.82,2
4,4,CNJ04_21_4,2012,September,194.3,123.2,2.4,35.2,33,8.8,2.08,1.46
4,5,CNJ04_21_5,2012,September,606.1,456.4,2.5,23.9,27,9.5,2.67,1.49
4,6,CNJ04_21_6,2012,September,278.5,194,2.2,27.5,6,6.6,2.43,1.36
4,7,CNJ04_21_7,2012,September,107.2,74.9,2.3,29.4,33,9,2.51,1.67
4,8,CNJ04_21_8,2012,September,219.7,114,2.3,47.7,18,8.1,2.99,1.45
4,9,CNJ04_21_9,2012,September,10.5,10.2,2,0,14,9.9,2.31,1.62
4,10,CNJ04_21_10,2012,September,273.5,158.6,3.1,41.6,17,8.1,2.73,1.3
4,11,CNJ04_21_11,2012,September,448.6,288,2.7,35,12,8.1,2.86,1.4
4,12,CNJ04_21_12,2012,September,149.6,127,2.6,14.5,13,7,2.84,1.95
4,13,CNJ04_21_13,2012,September,319.6,233.3,2.2,23.4,18,8.6,2.66,1.36
4,14,CNJ04_21_14,2012,September,284.6,167.6,2.7,36.5,19,8.6,2.5,1.77
4,15,CNJ04_21_15,2012,September,303.1,240.8,2.8,20.3,18,8.4,2.82,1.36
4,16,CNJ04_21_16,2012,September,520.4,344.8,2.8,31.6,12,8.1,2.75,1.64
4,17,CNJ04_21_17,2012,September,183.7,148.8,2,18.3,14,8.6,2.87,1.56
4,18,CNJ04_21_18,2012,September,382.8,203.7,2.7,41.8,13,8.4,2.73,1.94
4,19,CNJ04_21_19,2012,September,447,414.3,2.3,6.7,13,8.1,2.82,1.29
4,20,CNJ04_21_20,2012,September,307.7,215.4,2.4,28.4,17,8.1,2.88,1.5
4,21,CNJ04_21_21,2012,September,374.3,305.5,2.2,17.9,14,9,2.83,1.92
4,22,CNJ04_21_22,2012,September,178.1,91.4,2.6,46.1,16,7.7,2.8,1.52
4,23,CNJ04_21_23,2012,September,259.9,246.4,2.1,4.4,18,8.8,2.93,1.67
4,24,CNJ04_21_24,2012,September,95.6,73.9,2.4,22.3,9,8.8,2.97,1.53
4,25,CNJ04_21_25,2012,September,377.5,325.8,2.7,13.1,5,8.4,3.17,1.59
4,26,CNJ04_21_26,2012,September,148.4,129.5,2.4,11.7,6,9,2.71,1.24
4,27,CNJ04_21_27,2012,September,327.1,299.7,2.7,8,14,8.6,2.68,1.09
4,28,CNJ04_21_28,2012,September,182.1,160,2.2,10.6,13,8.4,2.94,1.35
4,29,CNJ04_21_29,2012,September,443.4,390.2,2.5,10.6,8,8.1,2.84,1.94
4,30,CNJ04_21_30,2012,September,478.8,409.2,2.2,12.8,19,10.6,3.3,1.26
4,31,CNJ04_21_31,2012,September,87.4,74.4,2.6,14.6,19,7.5,3.07,1.28
4,32,CNJ04_21_32,2012,September,173.6,152.5,2.6,12.1,23,8.4,2.85,1.86
4,33,CNJ04_21_33,2012,September,259.2,234.1,2.2,7.3,10,7.5,2.8,1.88
