year,accession_name,accession,row,column,berry_length,berry_width,berry_weight,num_seeds,num_peds,num_berries,total_berry_weight,upright_length,secondary_growth,dry_wt_leaves,ULvW,UMFW,TY_September,TY_October,SFY_September,SFY_October,MFW_September,MFW_October,PFR_September,PFR_October,Tacy_September,Tacy_October,Brix_September,Brix_October,TA_September,TA_October,PAC_September,PAC_October
2011,CNJ04_21_31,R4C31,4,31,23.844,18.974,3.144,23.4,3.6,2.3,6.353,3.22,2.16666666666667,0.0711,1.2566670180246653,2.7621739130434784,350.6,349.7,331.8,301.2,2.8,2.9,5.4,13.8,22,19,6.8,7.48,2.75,2.79,1.52,1.41
2011,CNJ04_21_32,R4C32,4,32,21.142,19.751,2.729,23.4,3.8,1.9,4.688,2.82,1,0.0646,1.0704268138322108,2.4673684210526314,343.6,453.4,311.9,390.2,2.9,2.9,9,13.7,22,34,7.3,7.92,2.56,2.51,1.7,1.9
2011,CNJ04_21_33,R4C33,4,33,22.008,17.825,2.659,20.7,4.33333333333333,2.22222222222222,4.409,3.91,2.45,0.084,1.234670406732118,1.9840500000000019,565.9,470.9,554.1,410.6,2.5,2.6,2.1,12.8,10,23,7.9,8.58,2.5,2.49,1.49,1.18
2011,CNJ04_21_34,R4C34,4,34,22.765,18.9,3.006,23.6,3.33333333333333,2.33333333333333,5.966,3.76,1.5,0.0763,1.2044973544973545,2.5568571428571465,660.5,723.1,630.7,645,2.5,1.9,4.5,10.8,14,23,8.1,9.02,2.31,2.26,1.42,1.38
2011,CNJ04_21_35,R4C35,4,35,19.983,18.133,2.575,18.2,4.44444444444444,2.22222222222222,5.259,5.27,2.75,0.0863,1.1020239342634977,2.3665500000000024,353.1,261.4,302.6,219.4,2.4,2.1,14.2,15.5,17,45,9.2,8.8,2.37,2.22,1.19,1.46
2011,CNJ04_21_36,R4C36,4,36,21.754,17.685,2.531,20.8,4,2,4.21,3.49,1.9,0.093,1.2300819903873341,2.105,387.5,239.5,369.5,215.2,3,2.4,4.6,9.9,17,30,7.7,7.7,2.27,2.66,1.95,1.64
2011,CNJ04_21_4,R4C4,4,4,21.965,18.911,3.126,22.9,4.2,2.1,5.17,3.15,1,0.0639,1.1614933107715086,2.4619047619047616,545.8,508.8,526.9,437.7,2.7,2.6,3.3,14,19,33,9.2,9.02,2.19,2.1,1.35,1.47
2011,CNJ04_21_5,R4C5,4,5,23.22,17.853,2.634,20.1,5.2,2.6,5.936,2.85,2.5,0.0649,1.3006217442446646,2.283076923076923,590.6,577.1,557.8,547.2,2.6,2.5,5.5,5.1,5,17,8.4,8.14,2.73,2.4,1.57,1.04
2011,CNJ04_21_6,R4C6,4,6,22.975,19.179,3.13222222222222,24.4444444444444,3.9,1.9,5.674,4.14,0.75,0.077,1.1979248135982066,2.9863157894736845,377.5,438.8,363.8,407.1,2.8,2.6,3.3,6.4,7,14,7.9,7.7,2.82,2.71,1.25,1.22
2011,CNJ04_21_7,R4C7,4,7,24.372,19.207,3.185,21.4,4.3,2.2,6.324,3.25,1.875,0.0817,1.2689123756963607,2.874545454545454,455.3,605,435.8,536.2,2.6,2.8,4.3,11.4,15,22,8.6,8.36,2.3,2.4,1.71,1.43
2011,CNJ04_21_8,R4C8,4,8,28.216,18.874,3.522,24.8,4.5,2.2,7.129,2.97,1.53333333333333,0.1031,1.4949666207481194,3.240454545454545,549.3,691.3,517.4,598.2,3,3.1,5.7,13.5,5,14,7.7,7.92,2.75,2.6,1.51,1.2
2011,CNJ04_21_9,R4C9,4,9,22.094,17.347,2.569,7.3,1.8,1,2.569,4.08,2.04285714285714,0.0597,1.2736496224130973,2.569,115.6,27.6,103.4,23.9,2.6,2.2,10.6,13.4,7,8,9.9,7.04,2.37,2.32,1.71,NA
2012,CNJ04_2_1,R3C1,3,1,21.07,16.76,2.263,13.3,4.6,1.8,3.5302,4.14,2.8375,0.1072,1.257159904534606,1.961222222222222,301.9,318.3,272.2,274,2.3,2.7,9.4,13.3,16,35,9.7,8.6,2.96,2.5,1.55,1.12
2012,CNJ04_2_10,R3C10,3,10,20.87,18.15,2.6955,16.2,4.77777777777778,2.88888888888889,6.2188,2.45,1.3,0.0602,1.1498622589531682,2.1526615384615373,424.2,310.8,356.5,261.7,2.6,2.5,14.6,15.7,10,37,9,10.3,2.6,2.29,1.16,1.43
