year,accession_name,accession,row,column,BL,BW,BM,NS,NP,NB,TBM,TY,SFY,MFW,PFR,Tacy,Brix,TA,PAC
2011,CNJ02_1_25,R8C16,8,16,25.017,17.722,2.756,23.2,3.8,2.1,5.481,276.7,168.45,2.7,39.349999999999994,19,8.7,2.4699999999999998,1.6800000000000002
2011,CNJ02_1_26,R8C17,8,17,21.04,18,2.537,18,5.4,2.5,5.128,748.25,523.5,2.1500000000000004,29.05,26.5,8.35,2.265,1.395
2011,CNJ02_1_27,R8C18,8,18,25.003,19.118,3.195,25.6,6.44444444444444,2.88888888888889,7.862,679.75,563.1500000000001,2.9,15.65,28,8.15,2.415,1.135
2011,CNJ02_1_28,R8C19,8,19,24.974,18.485,3.02,25.5,6.5,3.9,9.48,299.55,202.5,2.2,32.75,24,8.35,2.6,2.0700000000000003
2011,CNJ02_1_29,R8C20,8,20,20.353,16.859,2.042,25.6,4.2,1.9,3.548,629.55,530.65,2.3,15.7,16.5,7.800000000000001,2.2350000000000003,NA
2011,CNJ02_1_3,R7C48,7,48,23.73,16.64,2.473,21.9,4.8,2.4,5.074,909.35,662.1,2.2,29.1,25.5,8.25,2.56,1.29
2011,CNJ02_1_30,R8C21,8,21,24.36,18.16,2.727,27.2,3.44444444444444,2.11111111111111,4.987,319.4,266.79999999999995,2.3,16.45,19,9.35,2.505,1.78
2011,CNJ02_1_31,R8C22,8,22,24.12,19.15,3.205,23.3,4.2,2.4,6.923,530.8,327.25,2.9000000000000004,38.25,17,8.4,2.365,1.555
2011,CNJ02_1_32,R8C23,8,23,25.21,19.17,2.875,29.1,6,3.1,7.469,471.20000000000005,358.20000000000005,2.35,23.9,26,8.25,2.065,1.37
2011,CNJ02_1_33,R8C24,8,24,23.297,18.002,2.641,26,4.4,2.3,5.242,618.5,373.55,2.55,39.55,32.5,8.35,2.335,1.505
2011,CNJ02_1_34,R8C25,8,25,22.95,18.15,2.399,22.6,4.3,2,4.32,537.3,447.45000000000005,2.2,17.6,26.5,8.600000000000001,2.24,1.915
2011,CNJ02_1_35,R8C26,8,26,21.24,17.11,2.329,24.8,4.7,2.9,5.733,233.2,155.1,2.6500000000000004,36.25,33.5,8.7,2.395,1.625
2011,CNJ02_1_36,R8C27,8,27,20.604,17.5,2.212,21,5,1.7,3.32,303.15,239.1,2.3,18.75,30.5,9.25,2.325,1.35
2011,CNJ02_1_37,R8C28,8,28,23.595,17.547,2.712,18.5,8.2,3,7.361,462.55,305.4,2.45,33.75,26,9.2,2.5700000000000003,1.2000000000000002
2011,CNJ02_1_38,R8C29,8,29,25.32,20.47,3.63888888888889,21.4444444444444,3.7,2.1,7.361,622.45,421.75,3.35,31,21.5,8.7,2.385,1.62
2011,CNJ02_1_39,R8C30,8,30,22.598,18.164,2.957,20.2,4.66666666666667,2,5.402,664.3499999999999,472.6,2.6,30,35.5,8.649999999999999,2.5949999999999998,1.1400000000000001
2011,CNJ02_1_4,R7C49,7,49,23.25,18.89,2.839,20.3,4,2.7,6.918,656.45,556.45,2.5,14.7,20.5,8.15,2.51,1.27
2011,CNJ02_1_40,R8C31,8,31,22.9,18.37,2.817,19.9,7,3,6.74,509.95000000000005,399,2.45,20.3,18.5,8.7,2.5700000000000003,1.8850000000000002
