Day#,2011,2012,2013,2014,
290,5632.97,5653.6,5182.53,4920.24,
291,5648.83,5667.97,5192.28,4938.7,
292,5672.69,5693.9,5203.84,4947,
293,5693.8,5712.42,5213.8,4956.46,
294,5704.88,5712.42,5226.08,4971.72,
295,5713.23,5725.81,5231.28,4984.46,
296,5722.27,5740.29,5234.84,4993.96,
297,5732.51,5760.51,5238.77,5008.37,
298,5744.91,5780.63,5243.51,5022.13,
299,5758.81,5801.76,5251.4,5038.07,
300,5774.04,5819.75,5259.15,5047.1,
301,5776.94,5836.39,5266.01,5062.95,
302,5777.76,5849.99,5273.5,5084.48,
303,5779.74,5857.15,5293.48,5091.79,
304,5784.68,5861.48,5316.48,5096.93,
305,5792.87,5867.71,5335.59,5102.12,
306,5799.23,5871.5,5340.9,5104.85,
307,5806.87,5874.43,5342.27,5109.72,
308,5811.67,5875.56,5348.53,5126.56,
309,5814.72,5876.69,5359.94,5140.35,
310,5819.93,5877.15,5376.01,5150.59,
311,5826.6,5878.66,5379.04,5156.33,
312,5836.23,5882.31,5382.81,5158.32,
313,5847.38,5889.71,5394.61,5163.14,
314,5859.55,5906.5,5401.82,5169.57,
315,5862.76,5922.62,5404.71,5180.07,
316,5868.73,5930.63,5404.71,5194.08,
317,5879.79,5932.39,5407.91,5195.89,
318,5901.96,5933.56,5412.3,5195.94,
319,5924.58,5934.97,5416.17,5196.22,
320,5941.37,5937.84,5433.59,5196.96,
321,5945.93,5942.73,5452.47,5201.35,
322,5946.92,5949.52,5457.21,5201.37,
323,5951.37,5954.32,5458.27,5201.37,
324,5966.93,5958.05,5463.03,5204.59,
325,5979.78,5961.88,5473,5204.59,
326,5990.07,5967.23,5477.44,5205.29,
327,6005.53,5968.69,5477.44,5212.03,
328,6009.2,5968.82,5477.44,5234.97,
329,6016.31,5971.01,5478.82,5248.6,
330,6023.71,5971.01,5486.1,5249.4,
331,6035.38,5971.08,5486.1,5249.47,
332,6054.96,5972.35,5486.15,5249.47,
333,6072.75,5975.06,5486.15,5249.47,
334,6078.19,5980.41,5488.54,5257.27,
335,6080.63,5985.9,5489.77,5271.99,
336,6085.13,5999.49,5493.29,5273.83,
337,6086.97,6012.11,5500.57,5278.3,
338,6092.77,6023.78,5514.34,5278.45,
339,6102.58,6023.78,5524.08,5282.06,
340,6121.49,6023.78,5524.08,5287.05,
